dataset_name,num_instances_train,num_instances_test,train_test_ratio,num_time_points,num_classes,class_distribution_bias,default_rate,num_missing_values,null_rate,num_duplicate_instances,data_repetition_rate,avg_autocorrelation,ks_statistic,ks_p_value
Phoneme,214,1896,0.11,1024,39,-0.1468,0.1128,0,0.0,0,0.0,0.8167,0.0761,0.0
BME,30,150,0.2,128,3,0.0,0.3333,0,0.0,0,0.0,0.9878,0.2424,0.0
MiddlePhalanxOutlineAgeGroup,400,154,2.6,80,3,-0.5746,0.4801,0,0.0,0,0.0,0.9833,0.1073,0.0
ShakeGestureWiimoteZ,50,50,1.0,385,10,0.0,0.098,21768,0.5543,1,0.0098,0.93,0.4457,0.0
Herring,64,64,1.0,512,2,0.4149,0.6016,0,0.0,0,0.0,0.9993,0.0891,0.0
MixedShapesRegularTrain,500,2425,0.21,1024,5,0.1036,0.2578,0,0.0,6,0.0021,0.9996,0.0282,0.0
MiddlePhalanxTW,399,154,2.59,80,6,-0.0351,0.3653,0,0.0,0,0.0,0.9833,0.1083,0.0
ShapeletSim,20,180,0.11,500,2,0.0,0.5,0,0.0,0,0.0,0.0401,0.0599,0.0
InsectEPGSmallTrain,17,249,0.07,601,3,0.2777,0.4737,0,0.0,15,0.0564,0.9894,0.2502,0.0
ProximalPhalanxTW,400,205,1.95,80,6,-0.0694,0.4165,0,0.0,0,0.0,0.9831,0.1446,0.0
EOGHorizontalSignal,362,362,1.0,1250,12,-0.0021,0.0843,0,0.0,0,0.0,0.9993,0.1351,0.0
Strawberry,613,370,1.66,235,2,-0.5966,0.6429,0,0.0,0,0.0,0.9965,0.1536,0.0
